id,nome,nome_mae,sexo,dt_nasc
78,Anna de Oliveira Rodrigues,Mariana dos Santos dos Santos,F,27/02/1973
38,Anna dos Santos Pereira,Pedro e Silva de Oliveira,,16/08/1988
16,Anna Martins da Costaa,Luísa dos Santos Martins,F,28/07/1976
15,Anna Rodriguez Pereira,Maria e Silva Pereira,F,26/01/1982
76,Carlos da Costa e Silva,Mariana Pereira Martins,M,14/03/1998
48,Carlos da Costa Martins,Luísa da Costa Pereira,M,03/02/1972
39,Carlos de Oliveira Pereira,Laila Pereira Martins,F,17/10/1976
20,Carlos e Silva da Costa,Ana Martins Pereira,M,09/06/1975
32,Carlos Martins da Costa,Antônia de Oliveira dos Santos,M,28/06/1975
37,João de Oliveira de Oliveira,Sheila dos Santos Rodrigues,M,21/11/1980
19,João dos Santos Rodrigues,Ana e Silva Pereira,,16/10/2000
44,João e Silva Martins,Ana de Oliveira dos Santos,M,21/11/1981
87,João Pereira dos Santos,Joana de Oliveira e Silva,M,15/08/1986
84,João Pereira Martins,Ana da Costa dos Santos,,03/01/1970
54,José dos Santos Pereira,Mariana da Costa Martins,M,19/11/1981
83,José e Silva dos Santos,José e Silva dos Santos,F,03/08/1985
63,José Pereira dos Santos,Mariana dos Santos Pereira,M,20/04/1994
72,José Pereira Pereira,Ana Rodrigues da Costa,F,23/06/1984
7,Luísa de Oliveira Rodrigues,Maria da Silva,M,05/10/1999
94,Luísa dos Santos Martins,Mariana da Costa de Oliveira,F,25/02/1998
55,Luísa e Silva da Costa,Maria da Silva Martins,F,27/04/1976
85,Luísa e Silva Pereira,José dos Santos e Silva,F,04/01/1995
8,Luíza e Silva Rodrigues,Maria dos Santos de Oliveira,F,11/02/1996
98,Maria dos Santos de Oliveira,João da Costa da Costa,F,03/10/1998
74,Maria e Silva da Costa,Pedro da Costa da Costa,F,15/12/1983
100,Maria Martins Martins,Mariana de Oliveira Rodrigues,M,01/01/1977
41,Maria Martins Rodrigues,Mariana Martins Pereira,,21/08/1994
66,Mariana dos Santos Rodrigues,Mariana da Costa da Costa,F,04/05/1988
67,Marianna da Silva Pereira,João Rodrigues Pereira,F,08/11/1987
53,Marianna Santos Rodriguez,Pedro de Oliveira e Silva,F,12/02/1999
46,Pedro da Costa Oliveira,Maria dos Santos Pereira,M,26/03/1973
27,Pedro dos Santos da Costa,Mariana e Silva Pereira,M,27/03/1982
80,Pedro e Silva Martins,Ana Martins dos Santos,M,04/05/1991
6,Pedro Rodrigues e Silva,Carla da Costa ,M,16/03/1996
